trial,auc,ks,composite,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample,xgb_min_child_weight,xgb_gamma,xgb_lambda,xgb_alpha,lr_c,w_xgb
42,0.7649440567723791,0.3993135788681281,0.5821288178202536,3,0.03536212054751439,0.8904806873027236,0.7606796378247945,3,4.13371977533779,0.0745468225533008,0.029714896776817715,0.00932126858750407,0.4755921617390234
43,0.7668591426743785,0.4024845040643781,0.5846718233693783,5,0.028627741216354804,0.8172339870945504,0.7970497083865735,2,2.7480614166452693,5.666807780920135,6.114043740301639,0.001654370962991296,0.41851232357438656
44,0.7630739908521712,0.3957944390303203,0.5794342149412457,10,0.046268305281105836,0.7049784428865501,0.9491961812308313,19,1.7619390214343071,0.028521355234143505,1.2553285555152165,1.8174021025488514,0.7198482547016393
45,0.766701205364369,0.39691172276241005,0.5818064640633895,4,0.061636481930560504,0.915000299114453,0.8125078417849887,1,3.6296566897980638,0.00416125188605978,0.4421968442397898,0.025480557896256438,0.9379249893820617
46,0.7567394378380257,0.38600174691779,0.5713705923779078,9,0.08637557224681976,0.7506264197494016,0.7304116092428001,6,2.016808565285036,1.1776367643108276,0.18232400156113937,0.00025183576600634327,0.12654164010707625
47,0.7616952761748779,0.39717510746795115,0.5794351918214145,5,0.1938551405227572,0.7193004305330906,0.8616252741018388,4,1.5182680273260956,0.13374641361712214,0.7543931702319894,0.0008566622396649761,0.32551971828582627
48,0.76405384897466,0.3964517931066882,0.5802528210406741,3,0.018586949092310956,0.7737744989009641,0.8971207337636382,12,0.3790231067605183,0.6005016806866099,0.0051942923915485615,7.344727614854369,0.7979713045930518
49,0.765953043179328,0.40010169573038246,0.5830273694548552,6,0.0131333408372481,0.6251252671522142,0.7818352893363568,15,3.2774292035740773,0.3065203163251013,2.6816853353028436,0.010930680230069921,0.5098930595376816
50,0.7661934169297842,0.40022633562062454,0.5832098762752044,8,0.026968145243288662,0.8077272020712324,0.8342662213691011,7,2.4021485153366804,0.013407757014362032,0.0031735432431657584,0.004754394708963443,0.624332419454011
51,0.7684599236441516,0.4057545088446897,0.5871072162444206,4,0.03384443461903751,0.7198012748646611,0.7465080808205913,9,4.351769101418878,0.9599611688130192,0.01986431320757045,1.2702461121130273,0.6908897343968812
52,0.7672499838021578,0.4041346467055816,0.5856923152538697,4,0.024007057950626767,0.6839308015386057,0.7452673842403934,12,4.537898175085533,1.8009351095113812,0.01547378368778216,4.352521254273308,0.686984900715352
53,0.7671201450168869,0.4005304097508561,0.5838252773838715,3,0.03401037910226156,0.6586476563218601,0.6925480768863509,9,4.168378950492787,0.9430210344326214,0.009435953010647797,0.5590845854723049,0.7862619848229133
54,0.7672448795336981,0.40230166326790295,0.5847732714008005,4,0.03760395406352435,0.7201868599577731,0.7168999996425794,11,4.852173642096023,3.8406860457000125,0.017363539541910496,1.5057274576227506,0.5518715114393484
55,0.7632748997570658,0.3956968178086757,0.5794858587828707,4,0.010429010339697923,0.6933284105097574,0.734528066594747,14,4.420538816017066,1.0880623289061944,0.0026186383235955327,0.21397659608602623,0.6629993352422054
56,0.7679550908982823,0.4034748657360311,0.5857149783171567,3,0.04336290270982108,0.7231577173267709,0.7556295939741835,9,3.514492019241405,6.86193159771071,0.03019015979521753,3.917719503334599,0.7354748719907608
57,0.7553844354656818,0.3867472150287475,0.5710658252472146,4,0.021757914593834884,0.6669993232093654,0.6708963370402847,16,3.9764981291942414,2.0450757011133023,0.020907969671552114,0.8754900288806983,0.08022813056515316
58,0.7592098759412281,0.3924619584493622,0.5758359171952951,4,0.13057236765104954,0.7325824875228687,0.7658111133427304,10,4.798068741794474,3.4814865168766627,0.009007228222228299,0.39202781788402463,0.1809279296537224
